table,column,dtype,bins,distinct_count,hists
call_center,cc_hours,string,[],3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
call_center,cc_manager,string,[],24,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
call_center,cc_mkt_id,int,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",6,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0]"
call_center,cc_mkt_class,string,[],19,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
call_center,cc_mkt_desc,string,[],26,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
call_center,cc_market_manager,string,[],19,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
call_center,cc_division,int,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",6,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0]"
call_center,cc_division_name,string,[],6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
call_center,cc_company,int,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",6,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0]"
call_center,cc_company_name,string,[],6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
call_center,cc_street_number,string,[],15,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
call_center,cc_street_name,string,[],15,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
call_center,cc_street_type,string,[],11,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
call_center,cc_suite_number,string,[],14,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
call_center,cc_city,string,[],9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
call_center,cc_county,string,[],6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
call_center,cc_state,string,[],6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
call_center,cc_zip,string,[],11,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
call_center,cc_country,string,[],1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
call_center,cc_gmt_offset,"decimal(5,2)","[-6.0, -5.0]",2,"[-6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]"
call_center,cc_tax_percentage,"decimal(5,2)","[0.0, 0.01, 0.02, 0.03, 0.04, 0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12]",13,"[0.0, 0.0, 0.0, 0.0, 0.01, 0.01, 0.01, 0.01, 0.02, 0.02, 0.02, 0.02, 0.03, 0.03, 0.03, 0.03, 0.04, 0.04, 0.04, 0.04, 0.05, 0.05, 0.05, 0.05, 0.06, 0.06, 0.06, 0.06, 0.07, 0.07, 0.07, 0.07, 0.08, 0.08, 0.08, 0.08, 0.09, 0.09, 0.09, 0.09, 0.1, 0.1, 0.1, 0.1, 0.11, 0.11, 0.11, 0.11, 0.12, 0.12, 0.12]"
catalog_page,cp_catalog_page_sk,int,"[1.0, 82.0, 162.0, 242.0, 322.0, 402.0, 482.0, 562.0, 642.0, 722.0, 802.0, 882.0, 962.0, 1046.0, 1126.0, 1206.0, 1286.0, 1366.0, 1446.0, 1526.0, 1606.0, 1686.0, 1766.0, 1846.0, 1926.0, 2006.0, 2090.0, 2170.0, 2250.0, 2330.0, 2410.0, 2490.0, 2570.0, 2650.0, 2730.0, 2810.0, 2890.0, 2970.0, 3050.0, 3134.0, 3214.0, 3294.0, 3374.0, 3454.0, 3534.0, 3614.0, 3694.0, 3774.0, 3854.0, 3934.0, 4014.0, 4098.0, 4178.0, 4258.0, 4338.0, 4418.0, 4498.0, 4578.0, 4658.0, 4738.0, 4818.0, 4898.0, 4978.0, 5058.0, 5139.0, 5220.0, 5301.0, 5382.0, 5460.0, 5541.0, 5622.0, 5703.0, 5781.0, 5862.0, 5943.0, 6024.0, 6102.0, 6183.0, 6264.0, 6345.0, 6426.0, 6504.0, 6585.0, 6666.0, 6747.0, 6825.0, 6906.0, 6987.0, 7068.0, 7149.0, 7227.0, 7308.0, 7389.0, 7470.0, 7548.0, 7629.0, 7710.0, 7791.0, 7869.0, 7950.0, 8031.0, 8112.0, 8193.0, 8271.0, 8352.0, 8433.0, 8514.0, 8592.0, 8673.0, 8754.0, 8835.0, 8913.0, 8994.0, 9075.0, 9156.0, 9237.0, 9315.0, 9396.0, 9477.0, 9558.0, 9636.0, 9717.0, 9798.0, 9879.0, 9960.0, 10039.0, 10119.0, 10199.0, 10279.0, 10359.0, 10439.0, 10521.0, 10601.0, 10681.0, 10761.0, 10841.0, 10921.0, 11003.0, 11083.0, 11163.0, 11243.0, 11323.0, 11403.0, 11485.0, 11565.0, 11645.0, 11725.0, 11805.0, 11885.0, 11965.0, 12047.0, 12127.0, 12207.0, 12287.0, 12367.0, 12447.0, 12529.0, 12609.0, 12689.0, 12769.0, 12849.0, 12929.0, 13011.0, 13091.0, 13171.0, 13251.0, 13331.0, 13411.0, 13491.0, 13573.0, 13653.0, 13733.0, 13813.0, 13893.0, 13973.0, 14055.0, 14135.0, 14215.0, 14295.0, 14375.0, 14455.0, 14537.0, 14617.0, 14697.0, 14777.0, 14857.0, 14937.0, 15017.0, 15098.0, 15178.0, 15258.0, 15339.0, 15419.0, 15499.0, 15580.0, 15660.0, 15740.0, 15821.0, 15901.0, 15981.0, 16061.0, 16142.0, 16222.0, 16302.0, 16383.0, 16463.0, 16543.0, 16624.0, 16704.0, 16784.0, 16865.0, 16945.0, 17025.0, 17106.0, 17186.0, 17266.0, 17347.0, 17427.0, 17507.0, 17587.0, 17668.0, 17748.0, 17828.0, 17909.0, 17989.0, 18069.0, 18150.0, 18230.0, 18310.0, 18391.0, 18471.0, 18551.0, 18632.0, 18712.0, 18792.0, 18873.0, 18953.0, 19033.0, 19113.0, 19194.0, 19274.0, 19354.0, 19435.0, 19515.0, 19595.0, 19676.0, 19756.0, 19836.0, 19917.0, 19997.0, 20077.0, 20158.0, 20238.0, 20318.0, 20400.0]",18915,"[1.0, 408.4, 814.8, 1225.2, 1631.6, 2039.6, 2448.4, 2854.7999999999997, 3265.2, 3671.6, 4081.2, 4488.4, 4894.8, 5304.24, 5712.36, 6118.2, 6526.68, 6935.159999999999, 7343.639999999999, 7752.119999999999, 8160.599999999999, 8567.039999999999, 8974.56, 9383.039999999999, 9791.519999999999, 10199.0, 10607.4, 11015.8, 11422.68, 11830.6, 12239.0, 12647.4, 13055.8, 13462.2, 13870.599999999999, 14279.0, 14687.399999999998, 15094.76, 15502.24, 15910.599999999999, 16318.199999999999, 16726.399999999998, 17134.8, 17542.199999999997, 17950.6, 18358.6, 18766.399999999998, 19174.559999999998, 19582.2, 19990.6, 20400.0]"
catalog_page,cp_catalog_page_id,string,[],20400,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
catalog_page,cp_start_date_sk,int,"[2450815.0, 2450845.0, 2450875.0, 2450905.0, 2450906.0, 2450935.0, 2450965.0, 2450995.0, 2450997.0, 2451025.0, 2451055.0, 2451085.0, 2451088.0, 2451115.0, 2451145.0, 2451180.0, 2451210.0, 2451240.0, 2451270.0, 2451271.0, 2451300.0, 2451330.0, 2451360.0, 2451362.0, 2451390.0, 2451420.0, 2451450.0, 2451453.0, 2451480.0, 2451510.0, 2451545.0, 2451575.0, 2451605.0, 2451635.0, 2451636.0, 2451665.0, 2451695.0, 2451725.0, 2451727.0, 2451755.0, 2451785.0, 2451815.0, 2451818.0, 2451845.0, 2451875.0, 2451910.0, 2451940.0, 2451970.0, 2452000.0, 2452001.0, 2452030.0, 2452060.0, 2452090.0, 2452092.0, 2452120.0, 2452150.0, 2452180.0, 2452183.0, 2452210.0, 2452240.0, 2452275.0, 2452305.0, 2452335.0, 2452365.0, 2452366.0, 2452395.0, 2452425.0, 2452455.0, 2452457.0, 2452485.0, 2452515.0, 2452545.0, 2452548.0, 2452575.0, 2452605.0, 2452640.0, 2452670.0, 2452700.0, 2452730.0, 2452731.0, 2452760.0, 2452790.0, 2452820.0, 2452822.0, 2452850.0, 2452880.0, 2452910.0, 2452913.0, 2452940.0, 2452970.0, 2453005.0]",88,"[2450815.0, 2450869.0, 2450905.6, 2450947.0, 2450995.4, 2451025.0, 2451079.0, 2451104.2, 2451159.0, 2451216.0, 2451270.0, 2451294.2, 2451348.0, 2451373.2, 2451426.0, 2451453.0, 2451504.0, 2451563.0, 2451617.0, 2451641.8, 2451695.0, 2451726.6, 2451773.0, 2451816.2, 2451851.0, 2451910.0, 2451964.0, 2452000.6, 2452042.0, 2452090.4, 2452120.0, 2452174.0, 2452199.2, 2452254.0, 2452311.0, 2452365.0, 2452389.2, 2452443.0, 2452468.2, 2452521.0, 2452548.0, 2452599.0, 2452658.0, 2452712.0, 2452736.8, 2452790.0, 2452821.6, 2452868.0, 2452911.2, 2452946.0, 2453005.0]"
catalog_page,cp_end_date_sk,int,"[2450844.0, 2450874.0, 2450904.0, 2450905.0, 2450934.0, 2450964.0, 2450994.0, 2450996.0, 2451024.0, 2451054.0, 2451084.0, 2451087.0, 2451114.0, 2451144.0, 2451174.0, 2451178.0, 2451209.0, 2451239.0, 2451269.0, 2451270.0, 2451299.0, 2451329.0, 2451359.0, 2451361.0, 2451389.0, 2451419.0, 2451449.0, 2451452.0, 2451479.0, 2451509.0, 2451539.0, 2451543.0, 2451574.0, 2451604.0, 2451634.0, 2451635.0, 2451664.0, 2451694.0, 2451724.0, 2451726.0, 2451754.0, 2451784.0, 2451814.0, 2451817.0, 2451844.0, 2451874.0, 2451904.0, 2451908.0, 2451939.0, 2451969.0, 2451999.0, 2452000.0, 2452029.0, 2452059.0, 2452089.0, 2452091.0, 2452119.0, 2452149.0, 2452179.0, 2452182.0, 2452209.0, 2452239.0, 2452269.0, 2452273.0, 2452304.0, 2452334.0, 2452364.0, 2452365.0, 2452394.0, 2452424.0, 2452454.0, 2452456.0, 2452484.0, 2452514.0, 2452544.0, 2452547.0, 2452574.0, 2452604.0, 2452634.0, 2452638.0, 2452669.0, 2452699.0, 2452729.0, 2452730.0, 2452759.0, 2452789.0, 2452819.0, 2452821.0, 2452849.0, 2452879.0, 2452909.0, 2452912.0, 2452939.0, 2452969.0, 2452999.0, 2453003.0, 2453186.0]",101,"[2450844.0, 2450901.6, 2450929.36, 2450986.8, 2451015.04, 2451072.0, 2451101.04, 2451157.2, 2451189.16, 2451247.4, 2451275.8, 2451332.6, 2451362.12, 2451417.8, 2451451.64, 2451503.0, 2451541.88, 2451593.2, 2451634.56, 2451678.4, 2451724.8, 2451763.6, 2451814.72, 2451848.8, 2451904.32, 2451939.0, 2451996.6, 2452024.36, 2452081.8, 2452110.04, 2452167.0, 2452196.04, 2452252.2, 2452284.16, 2452342.4, 2452370.8, 2452427.6, 2452457.12, 2452512.8, 2452546.64, 2452598.0, 2452636.88, 2452688.2, 2452729.56, 2452773.4, 2452819.8, 2452858.6, 2452909.72, 2452943.8, 2452999.32, 2453186.0]"
